Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Junjou Romantica OVA,OVA,2,Finished Airing,12/20/2012,12/1/2015,null,null,"{kadokawa shoten,romantica club !!}",null,Studio Deen,Manga,"{comedy,drama,romance,shounen ai}",22,PG-13,8.05,14913,30339,91
Kamisama Hajimemashita OVA,OVA,2,Finished Airing,8/20/2013,null,null,null,null,null,TMS Entertainment,Manga,"{comedy,demons,supernatural,romance,fantasy,shoujo}",14,PG-13,8.05,28945,54727,216
Kuuchuu Buranko,TV,11,Finished Airing,10/15/2009,12/24/2009,Fall,5,"{dentsu,fuji tv,asmik ace entertainment,sony music entertainment,bungeishunjuu}",null,Toei Animation,Novel,"{comedy,psychological,drama,seinen}",23,R,8.05,15209,53431,891
Macross,TV,36,Finished Airing,10/3/1982,6/26/1983,Fall,null,{studio nue},{adv films},"Artland,Tatsunoko Production",Original,"{action,mecha,military,music,romance,sci-fi,space}",26,PG-13,8.05,21439,57759,1235
Macross: Do You Remember Love?,Movie,1,Finished Airing,7/7/1984,null,null,null,"{mainichi broadcasting system,studio nue,big west}",null,"Artland,Tatsunoko Production",Original,"{action,space,mecha,romance,military,music,sci-fi}",115,R,8.05,12992,25119,425
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Special,1,Finished Airing,8/30/2014,null,null,null,null,{funimation},Toei Animation,Manga,"{adventure,comedy,fantasy,shounen}",107,PG-13,8.05,26628,42130,95
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Special,1,Finished Airing,8/26/2017,null,null,null,null,{funimation},Toei Animation,Manga,"{action,adventure,comedy,super power,drama,fantasy,shounen}",106,PG-13,8.05,3631,7359,9
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,OVA,6,Finished Airing,6/22/2007,1/25/2008,null,null,{production i.g},null,M.S.C,-,"{action,comedy,sports}",23,PG-13,8.05,14539,25191,56
Trigun: Badlands Rumble,Movie,1,Finished Airing,4/2/2010,null,null,null,"{flying dog,sunny side up,studio jack,shounen gahousha}",{funimation},Madhouse,Manga,"{action,sci-fi,adventure,comedy,drama,shounen}",90,PG-13,8.05,46598,83342,195
Usagi Drop Specials,Special,4,Finished Airing,10/28/2011,1/27/2012,null,null,null,"{nis america, inc.}",Production I.G,Manga,"{josei,slice of life}",5,PG-13,8.05,27009,45205,27
